receipt,date,type,amount,balance
MP249167,2026-04-24 17:29:00,Withdrawal,-1482,15695
MP618198,2026-04-13 02:37:00,Withdrawal,-3628,6385
MP883407,2026-04-28 06:05:00,Customer Payment,957,11309
MP860546,2026-04-27 10:03:00,Customer Payment,2631,18786
MP219164,2026-04-02 20:18:00,Customer Payment,791,2191
MP808848,2026-04-23 10:58:00,Paybill,1019,15119
MP115886,2026-04-25 16:29:00,Withdrawal,-1737,7951
MP191305,2026-04-10 21:58:00,Customer Payment,1024,5918
MP886740,2026-04-21 19:25:00,Customer Payment,1072,3799
MP404981,2026-04-27 02:18:00,Withdrawal,-2417,1217
MP141155,2026-04-08 11:51:00,Paybill,834,1682
MP188222,2026-04-09 16:21:00,Buy Goods,303,16809
MP668117,2026-04-13 22:13:00,Withdrawal,-4173,14021
MP791989,2026-04-18 08:30:00,Customer Payment,2851,19007
MP193581,2026-04-27 00:51:00,Paybill,905,12091
MP444834,2026-04-20 23:57:00,Buy Goods,2210,19628
MP506312,2026-04-12 18:10:00,Buy Goods,227,8734
MP372754,2026-04-01 19:42:00,Paybill,2028,9757
MP737564,2026-04-01 04:07:00,Withdrawal,-3461,6903
MP320643,2026-04-24 10:08:00,Customer Payment,2159,1675
MP117017,2026-04-28 06:37:00,Customer Payment,2033,15127
MP458007,2026-04-24 20:29:00,Paybill,1455,5051
MP706947,2026-04-16 06:07:00,Buy Goods,2252,10245
MP417965,2026-04-17 20:55:00,Customer Payment,706,9219
MP947664,2026-04-22 08:54:00,Customer Payment,1435,18940
MP602386,2026-04-08 10:06:00,Customer Payment,1249,11804
MP440445,2026-04-20 10:34:00,Customer Payment,941,14495
MP581986,2026-04-29 22:33:00,Buy Goods,1068,15992
MP955577,2026-04-23 14:55:00,Paybill,430,8884
MP837420,2026-04-25 15:05:00,Withdrawal,-3484,2383
MP929509,2026-04-18 16:07:00,Customer Payment,2430,19403
MP873145,2026-04-17 03:56:00,Paybill,824,10419
MP419770,2026-04-30 13:13:00,Customer Payment,512,4416
MP391467,2026-04-29 01:19:00,Customer Payment,2689,10324
MP341563,2026-04-09 07:52:00,Customer Payment,1815,3864
MP284809,2026-04-23 09:58:00,Buy Goods,2568,11517
MP307278,2026-04-16 06:29:00,Customer Payment,576,17480
MP564250,2026-04-21 19:09:00,Customer Payment,2002,19198
MP449606,2026-04-30 16:59:00,Customer Payment,998,10014
MP889163,2026-04-15 02:27:00,Customer Payment,2937,14787
MP776718,2026-04-01 23:19:00,Customer Payment,55,6322
MP351054,2026-04-06 07:19:00,Paybill,1018,3436
MP877007,2026-04-05 09:30:00,Buy Goods,623,11749
MP199227,2026-04-11 09:38:00,Customer Payment,2495,8677
MP260208,2026-04-28 07:55:00,Customer Payment,870,16718
MP627930,2026-04-08 08:32:00,Customer Payment,1062,9635
MP337814,2026-04-20 22:14:00,Paybill,623,14232
MP248697,2026-04-27 01:04:00,Customer Payment,1690,7816
MP866548,2026-04-13 07:34:00,Buy Goods,1958,14485
MP982458,2026-04-26 19:57:00,Paybill,1477,3056
MP275423,2026-04-06 15:10:00,Customer Payment,127,19588
MP546683,2026-04-07 23:04:00,Customer Payment,252,6015
MP962053,2026-04-26 03:43:00,Buy Goods,1500,18197
MP997864,2026-04-10 18:09:00,Paybill,2401,6694
MP389712,2026-04-10 19:03:00,Buy Goods,1995,12891
MP102719,2026-04-21 17:02:00,Buy Goods,2664,6293
MP627919,2026-04-17 07:53:00,Withdrawal,-3688,14041
MP304674,2026-04-15 23:58:00,Customer Payment,2994,18775
MP217305,2026-04-08 12:13:00,Customer Payment,2154,12511
MP302605,2026-04-18 19:27:00,Customer Payment,55,4116
MP943999,2026-04-16 08:56:00,Customer Payment,482,3302
MP511256,2026-04-28 06:52:00,Paybill,976,15227
MP967680,2026-04-10 17:52:00,Paybill,1259,14270
MP819322,2026-04-25 13:55:00,Paybill,1071,9281
MP732811,2026-04-04 15:11:00,Customer Payment,2667,11926
MP551180,2026-04-07 02:39:00,Customer Payment,302,9502
MP466243,2026-04-21 10:46:00,Customer Payment,872,2973
MP167711,2026-04-19 21:34:00,Buy Goods,380,2960
MP996508,2026-04-29 13:02:00,Buy Goods,2687,8356
MP431028,2026-04-08 03:58:00,Customer Payment,2484,14342
MP419117,2026-04-10 22:12:00,Buy Goods,640,11253
MP765390,2026-04-09 16:25:00,Customer Payment,1376,9573
MP109784,2026-04-23 04:33:00,Customer Payment,1122,7984
MP948752,2026-04-21 15:02:00,Customer Payment,2590,19834
MP231267,2026-04-24 17:55:00,Customer Payment,947,15385
MP410631,2026-04-10 03:31:00,Customer Payment,1757,8873
MP499824,2026-04-12 15:24:00,Buy Goods,2670,19102
MP208707,2026-04-21 23:07:00,Paybill,1312,11932
MP891511,2026-04-30 09:18:00,Paybill,1978,8204
MP495672,2026-04-25 22:46:00,Paybill,1640,1791
MP772134,2026-04-06 21:09:00,Buy Goods,987,6762
MP508136,2026-04-05 10:49:00,Paybill,1280,18891
MP525664,2026-04-30 22:20:00,Customer Payment,515,3875
MP676120,2026-04-10 22:47:00,Customer Payment,2349,18218
MP839541,2026-04-08 17:38:00,Withdrawal,-4924,10099
MP488469,2026-04-04 12:14:00,Withdrawal,-3719,2166
MP489592,2026-04-07 16:54:00,Paybill,2974,1522
MP198619,2026-04-05 00:33:00,Withdrawal,-3663,9535
MP660094,2026-04-11 06:41:00,Paybill,208,6971
MP188057,2026-04-30 04:55:00,Withdrawal,-2542,2027
MP286743,2026-04-05 08:15:00,Buy Goods,797,14087
MP442657,2026-04-07 00:42:00,Buy Goods,222,9081
MP175895,2026-04-10 22:57:00,Buy Goods,644,13296
MP328804,2026-04-03 22:42:00,Buy Goods,817,7141
MP943630,2026-04-19 00:41:00,Customer Payment,997,2852
MP732021,2026-04-14 03:52:00,Customer Payment,1210,18628
MP967511,2026-04-09 00:11:00,Buy Goods,2025,4432
MP973706,2026-04-04 17:26:00,Customer Payment,1325,8440
MP712751,2026-04-07 10:04:00,Customer Payment,2117,14508
MP435922,2026-04-06 03:44:00,Buy Goods,1604,14060
MP104366,2026-04-25 07:30:00,Customer Payment,1001,7020
MP386359,2026-04-06 12:25:00,Withdrawal,-1322,6411
MP549460,2026-04-27 23:14:00,Customer Payment,988,5991
MP154281,2026-04-28 19:16:00,Customer Payment,2617,17805
MP130208,2026-04-27 23:14:00,Withdrawal,-3948,2442
MP729148,2026-04-19 06:55:00,Paybill,2806,3698
MP848796,2026-04-30 18:34:00,Buy Goods,1170,19414
MP888367,2026-04-19 19:44:00,Customer Payment,1893,15796
MP556419,2026-04-27 15:30:00,Customer Payment,400,17162
MP529310,2026-04-16 03:35:00,Customer Payment,352,13987
MP340268,2026-04-10 18:59:00,Paybill,897,19528
MP169383,2026-04-26 23:26:00,Paybill,2233,10248
MP123659,2026-04-04 08:47:00,Buy Goods,2430,4511
MP962180,2026-04-05 21:35:00,Paybill,2308,9936
MP813722,2026-04-02 21:53:00,Customer Payment,1393,15223
MP575149,2026-04-03 05:41:00,Customer Payment,2142,7311
MP411593,2026-04-15 09:20:00,Buy Goods,671,10003
MP262458,2026-04-17 10:12:00,Customer Payment,517,17078
MP592379,2026-04-19 02:07:00,Customer Payment,2754,11198
MP546772,2026-04-01 14:19:00,Paybill,1349,13448
MP966334,2026-04-18 20:01:00,Buy Goods,2070,12394
MP971731,2026-04-15 18:11:00,Buy Goods,570,15645
MP431176,2026-04-16 06:20:00,Buy Goods,1985,11482
MP287177,2026-04-01 07:10:00,Withdrawal,-1077,6297
MP472665,2026-04-25 14:58:00,Withdrawal,-4332,9332
MP539387,2026-04-08 12:09:00,Customer Payment,1846,18661
MP356121,2026-04-04 19:21:00,Withdrawal,-1898,10665
MP104035,2026-04-11 18:37:00,Customer Payment,883,17708
MP778105,2026-04-01 12:01:00,Customer Payment,766,5381
MP589139,2026-04-16 09:55:00,Customer Payment,602,17132
MP118193,2026-04-03 22:38:00,Customer Payment,1620,7793
MP359507,2026-04-14 02:21:00,Buy Goods,1359,10483
MP184404,2026-04-25 16:26:00,Customer Payment,2271,5000
MP516696,2026-04-05 14:16:00,Customer Payment,2760,10562
MP816247,2026-04-07 09:59:00,Buy Goods,645,1621
MP960530,2026-04-29 14:45:00,Buy Goods,757,17980
MP930645,2026-04-04 17:10:00,Customer Payment,1927,19566
MP717076,2026-04-22 04:09:00,Buy Goods,2242,6743
MP945035,2026-04-11 15:48:00,Customer Payment,786,4670
MP838775,2026-04-02 08:55:00,Customer Payment,591,15569
MP949164,2026-04-18 08:38:00,Withdrawal,-1592,4673
MP383200,2026-04-01 11:08:00,Paybill,2223,18973
MP182665,2026-04-29 02:07:00,Buy Goods,2167,12018
MP986173,2026-04-27 09:01:00,Customer Payment,272,8754
MP866542,2026-04-12 04:17:00,Customer Payment,407,13927
MP539261,2026-04-14 14:34:00,Customer Payment,1656,7643
MP351844,2026-04-04 12:35:00,Buy Goods,1349,18347
MP949874,2026-04-03 15:55:00,Withdrawal,-2090,19159
MP321549,2026-04-15 19:35:00,Withdrawal,-2554,6353
MP230649,2026-04-09 19:05:00,Customer Payment,125,19763
MP803496,2026-04-07 02:49:00,Customer Payment,2542,9575
MP853091,2026-04-18 12:30:00,Paybill,1572,9618
